table_database;table_schema;table_name;column_name;data_type
stg_archive_cbs;cbs;vw_cbs_indexatie_cf;meta_id_user;NVARCHAR
stg_archive_cbs;cbs;vw_cbs_indexatie_cf;meta_dt_load;SMALLDATETIME
stg_archive_cbs;cbs;vw_cbs_indexatie_cf;meta_id_hash;NVARCHAR
stg_archive_cbs;cbs;vw_cbs_indexatie_cf;meta_dt_valid_from;DATE
stg_archive_cbs;cbs;vw_cbs_indexatie_cf;meta_dt_valid_to;DATE
stg_archive_cbs;cbs;vw_cbs_indexatie_cf;system-id;VARCHAR
stg_archive_cbs;cbs;vw_cbs_indexatie_cf;filename;VARCHAR
stg_archive_cbs;cbs;vw_cbs_indexatie_cf;report_date;DATE
stg_archive_cbs;cbs;vw_cbs_indexatie_cf;total_number_of_records;INT
stg_archive_cbs;cbs;vw_cbs_indexatie_cf;delivery;VARCHAR
stg_archive_cbs;cbs;vw_cbs_indexatie_cf;hash_total_numeric;VARCHAR
stg_archive_cbs;cbs;vw_cbs_indexatie_cf;aanmaakdatum;DATETIME
stg_archive_cbs;cbs;vw_cbs_indexatie;meta_id_user;NVARCHAR
stg_archive_cbs;cbs;vw_cbs_indexatie;meta_dt_load;SMALLDATETIME
stg_archive_cbs;cbs;vw_cbs_indexatie;meta_id_hash;NVARCHAR
stg_archive_cbs;cbs;vw_cbs_indexatie;meta_dt_valid_from;DATE
stg_archive_cbs;cbs;vw_cbs_indexatie;meta_dt_valid_to;DATE
stg_archive_cbs;cbs;vw_cbs_indexatie;jaar;NUMERIC
stg_archive_cbs;cbs;vw_cbs_indexatie;kwartaal;NUMERIC
stg_archive_cbs;cbs;vw_cbs_indexatie;index;NUMERIC
stg_archive_cbs;cbs;vw_cbs_indexatie;description;VARCHAR
stg_archive_equens;equ;vw_transaction_attempt;meta_id_user;NVARCHAR
stg_archive_equens;equ;vw_transaction_attempt;meta_dt_load;SMALLDATETIME
stg_archive_equens;equ;vw_transaction_attempt;meta_id_hash;NVARCHAR
stg_archive_equens;equ;vw_transaction_attempt;meta_dt_valid_from;DATE
stg_archive_equens;equ;vw_transaction_attempt;meta_dt_valid_to;DATE
stg_archive_equens;equ;vw_transaction_attempt;sol;NVARCHAR
stg_archive_equens;equ;vw_transaction_attempt;seq;NVARCHAR
stg_archive_equens;equ;vw_transaction_attempt;record;NVARCHAR
stg_archive_equens;equ;vw_transaction_attempt;date;NVARCHAR
stg_archive_equens;equ;vw_transaction_attempt;time;NVARCHAR
stg_archive_equens;equ;vw_transaction_attempt;type;NVARCHAR
stg_archive_equens;equ;vw_transaction_attempt;stan;NVARCHAR
stg_archive_equens;equ;vw_transaction_attempt;time_short;NVARCHAR
stg_archive_equens;equ;vw_transaction_attempt;date_short;NVARCHAR
stg_archive_equens;equ;vw_transaction_attempt;wallet;NVARCHAR
stg_archive_equens;equ;vw_transaction_attempt;ecommerce;NVARCHAR
stg_archive_equens;equ;vw_transaction_attempt;pan;NVARCHAR
stg_archive_equens;equ;vw_transaction_attempt;file_reference;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;meta_id_user;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;meta_dt_load;SMALLDATETIME
stg_archive_abacus;aba;vw_corep_details;meta_id_hash;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;meta_dt_valid_from;DATE
stg_archive_abacus;aba;vw_corep_details;meta_dt_valid_to;DATE
stg_archive_abacus;aba;vw_corep_details;dt_ingediend;DATE
stg_archive_abacus;aba;vw_corep_details;reporting_unit;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;date;DATE
stg_archive_abacus;aba;vw_corep_details;name_of_cluster;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;created_on;DATE
stg_archive_abacus;aba;vw_corep_details;b001;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;b002;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;b312;INT
stg_archive_abacus;aba;vw_corep_details;b723;INT
stg_archive_abacus;aba;vw_corep_details;c013;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;c200;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;f001;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;p032;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;rowname;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;colname;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;amount;DECIMAL
stg_archive_abacus;aba;vw_corep_details;b500;INT
stg_archive_abacus;aba;vw_corep_details;b020;DECIMAL
stg_archive_abacus;aba;vw_corep_details;b021;DECIMAL
stg_archive_abacus;aba;vw_corep_details;b407;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;b410;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;i051;DECIMAL
stg_archive_abacus;aba;vw_corep_details;i036;DECIMAL
stg_archive_abacus;aba;vw_corep_details;i059;DECIMAL
stg_archive_abacus;aba;vw_corep_details;i060;DECIMAL
stg_archive_abacus;aba;vw_corep_details;b217;DECIMAL
stg_archive_abacus;aba;vw_corep_details;i050;DECIMAL
stg_archive_abacus;aba;vw_corep_details;b014;INT
stg_archive_abacus;aba;vw_corep_details;c215;DECIMAL
stg_archive_abacus;aba;vw_corep_details;c223;DECIMAL
stg_archive_abacus;aba;vw_corep_details;c226;DECIMAL
stg_archive_abacus;aba;vw_corep_details;b040;DECIMAL
stg_archive_abacus;aba;vw_corep_details;b025;DECIMAL
stg_archive_abacus;aba;vw_corep_details;i037;DECIMAL
stg_archive_abacus;aba;vw_corep_details;b013;INT
stg_archive_abacus;aba;vw_corep_details;i056;INT
stg_archive_abacus;aba;vw_corep_details;rt30b_i056;INT
stg_archive_abacus;aba;vw_corep_details;i204;INT
stg_archive_abacus;aba;vw_corep_details;i058;DECIMAL
stg_archive_abacus;aba;vw_corep_details;i069;DECIMAL
stg_archive_abacus;aba;vw_corep_details;b015;INT
stg_archive_abacus;aba;vw_corep_details;b502;INT
stg_archive_abacus;aba;vw_corep_details;i113;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;i112;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;c150;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;f003;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;i004;DECIMAL
stg_archive_abacus;aba;vw_corep_details;i005;DECIMAL
stg_archive_abacus;aba;vw_corep_details;i019;DECIMAL
stg_archive_abacus;aba;vw_corep_details;i020;INT
stg_archive_abacus;aba;vw_corep_details;b160;INT
stg_archive_abacus;aba;vw_corep_details;i090;DECIMAL
stg_archive_abacus;aba;vw_corep_details;j304;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;j305;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;j306;NVARCHAR
stg_archive_abacus;aba;vw_corep_details;id;BIGINT
stg_archive_abacus;aba;vw_controle;meta_id_user;NVARCHAR
stg_archive_abacus;aba;vw_controle;meta_dt_load;SMALLDATETIME
stg_archive_abacus;aba;vw_controle;meta_id_hash;NVARCHAR
stg_archive_abacus;aba;vw_controle;meta_dt_valid_from;DATE
stg_archive_abacus;aba;vw_controle;meta_dt_valid_to;DATE
stg_archive_abacus;aba;vw_controle;system_id;NVARCHAR
stg_archive_abacus;aba;vw_controle;table;NVARCHAR
stg_archive_abacus;aba;vw_controle;report_date;DATE
stg_archive_abacus;aba;vw_controle;dt_snapshot;DATE
stg_archive_abacus;aba;vw_controle;num_of_rec;BIGINT
stg_archive_ambittreasury;atr;vw_securities_price_eigenboek;meta_id_user;NVARCHAR
stg_archive_ambittreasury;atr;vw_securities_price_eigenboek;meta_dt_load;SMALLDATETIME
stg_archive_ambittreasury;atr;vw_securities_price_eigenboek;meta_id_hash;NVARCHAR
stg_archive_ambittreasury;atr;vw_securities_price_eigenboek;meta_dt_valid_from;DATE
stg_archive_ambittreasury;atr;vw_securities_price_eigenboek;meta_dt_valid_to;DATE
stg_archive_ambittreasury;atr;vw_securities_price_eigenboek;portefeuille;VARCHAR
stg_archive_ambittreasury;atr;vw_securities_price_eigenboek;isin_code;VARCHAR
stg_archive_ambittreasury;atr;vw_securities_price_eigenboek;coupon_rendement;DECIMAL
stg_archive_ambittreasury;atr;vw_securities_price_eigenboek;fonds;VARCHAR
stg_archive_ambittreasury;atr;vw_securities_price_eigenboek;nominale_waarde;DECIMAL
stg_archive_ambittreasury;atr;vw_securities_price_eigenboek;valuta;VARCHAR
stg_archive_ambittreasury;atr;vw_securities_price_eigenboek;aankoopwaarde;DECIMAL
stg_archive_ambittreasury;atr;vw_securities_price_eigenboek;aankoopkoers;DECIMAL
